Rep Code,Route,Customer Code,Customer Name,SalesX,Sale,Lgsale,GP,GPX,Loggp,GppeX,Gpperc,Month
KAM,Collection,FHT-04,THE LOCAL FISH & CHIP CO.,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,FHT-03,FHT STAFF CLEANING,1017,1017.0,6.92461239604856,47.93000000000001,47.93,3.86974161317154,0.04712881022615536,0.047128810226155365,May
KAM,Collection,FHT-02,FHT STAFF REFRESHMENTS,5543,5542.999999999999,8.620291149419804,769.6800000000003,769.68,6.6459748440530095,0.13885621504600396,0.13885621504600396,May
KAM,Collection,AB-001,STAFF - ABRAHAM,439,439.00000000000006,6.0844994130751715,0.64,0.64,-0.4462871026284195,0.001457858769931663,0.0014578587699316627,May
KAM,Collection,ANE-01,STAFF - ANELE MYEZA,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,BON-01,STAFF - BONGILE,294,293.99999999999994,5.683579767338681,1.0,-0.2,0.0,-0.0006802721088435375,0.0,May
KAM,Collection,HAP-03,STAFF - HAPPY,156,156.0,5.049856007249537,0.5,0.5,-0.6931471805599453,0.003205128205128205,0.0032051282051282046,May
KAM,Collection,IVO-01,STAFF - IVO ACCOLLA,2405,2405.0,7.785305182539862,0.31,0.31,-1.171182981502945,0.0001288981288981289,0.00012889812889812894,May
KAM,Collection,JP007,STAFF - JP,36,36.0,3.58351893845611,1.0,-0.39,0.0,-0.010833333333333334,0.0,May
KAM,Collection,MAQ-01,STAFF - MAQILI,363,362.9999999999999,5.8944028342648505,0.5,0.5,-0.6931471805599453,0.0013774104683195593,0.0013774104683195595,May
KAM,Collection,MZW-01,STAFF - MZWANDILE,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,May
KAM,Collection,NAO-01,STAFF - NAOMI,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,NIC-08,STAFF - NICHOLAS,80,79.99999999999997,4.382026634673881,0.010000000000000004,0.01,-4.605170185988091,0.000125,0.000125,May
KAM,Collection,NIC-06,STAFF - NICOLE,1004,1003.9999999999998,6.911747300251674,1.0,-0.45,0.0,-0.00044820717131474104,0.0,May
KAM,Collection,NOM01,STAFF - NOMTHA,656,655.9999999999998,6.486160788944089,0.86,0.86,-0.15082288973458366,0.0013109756097560976,0.001310975609756098,May
KAM,Collection,ROB-01,STAFF - ROBERT,479,478.99999999999983,6.171700597410915,1.0,-0.31,0.0,-0.0006471816283924844,0.0,May
KAM,Collection,SAM-01,STAFF - SAM,827,826.9999999999999,6.717804695023691,1.0,-0.36,0.0,-0.00043530834340991533,0.0,May
KAM,Collection,SAN-05,STAFF - SANELE,319,318.99999999999994,5.765191102784844,0.49,0.49,-0.7133498878774648,0.0015360501567398118,0.001536050156739812,May
KAM,Collection,SHI-01,STAFF - SHIRLEY,1290,1290.0,7.162397497355718,35.68,35.68,3.5745903077118086,0.02765891472868217,0.02765891472868217,May
